OborPece,Datum,count
otorinolaryngologie a chirurgie hlavy a krku,2020-12-01,871
ortodoncie,2020-12-01,418
Klinický psycholog,2020-12-01,955
endokrinologie a diabetologie,2020-12-01,946
Dentální hygienistka,2020-12-01,771
otorinolaryngologie a chirurgie hlavy a krku,2020-01-01,881
ortodoncie,2020-01-01,417
endokrinologie a diabetologie,2020-01-01,949
Klinický psycholog,2020-01-01,904
Dentální hygienistka,2020-01-01,711
otorinolaryngologie a chirurgie hlavy a krku,2020-03-01,879
ortodoncie,2020-03-01,419
Klinický psycholog,2020-03-01,909
endokrinologie a diabetologie,2020-03-01,943
Dentální hygienistka,2020-03-01,726
otorinolaryngologie a chirurgie hlavy a krku,2021-02-01,865
ortodoncie,2021-02-01,416
Klinický psycholog,2021-02-01,981
endokrinologie a diabetologie,2021-02-01,937
Dentální hygienistka,2021-02-01,779
otorinolaryngologie a chirurgie hlavy a krku,2019-05-01,924
ortodoncie,2019-05-01,429
Dentální hygienistka,2019-05-01,653
Klinický psycholog,2019-05-01,941
endokrinologie a diabetologie,2019-05-01,998
otorinolaryngologie a chirurgie hlavy a krku,2020-08-01,878
ortodoncie,2020-08-01,414
Klinický psycholog,2020-08-01,934
endokrinologie a diabetologie,2020-08-01,945
Dentální hygienistka,2020-08-01,742
otorinolaryngologie a chirurgie hlavy a krku,2020-09-01,875
ortodoncie,2020-09-01,418
Klinický psycholog,2020-09-01,940
endokrinologie a diabetologie,2020-09-01,945
Dentální hygienistka,2020-09-01,750
otorinolaryngologie a chirurgie hlavy a krku,2018-11-01,927
ortodoncie,2018-11-01,432
Klinický psycholog,2018-11-01,907
endokrinologie a diabetologie,2018-11-01,994
Dentální hygienistka,2018-11-01,618
otorinolaryngologie a chirurgie hlavy a krku,2018-10-01,927
ortodoncie,2018-10-01,432
Klinický psycholog,2018-10-01,903
endokrinologie a diabetologie,2018-10-01,994
Dentální hygienistka,2018-10-01,614
otorinolaryngologie a chirurgie hlavy a krku,2018-12-01,929
ortodoncie,2018-12-01,428
Klinický psycholog,2018-12-01,913
endokrinologie a diabetologie,2018-12-01,990
Dentální hygienistka,2018-12-01,619
otorinolaryngologie a chirurgie hlavy a krku,2019-04-01,923
ortodoncie,2019-04-01,430
Klinický psycholog,2019-04-01,934
endokrinologie a diabetologie,2019-04-01,998
Dentální hygienistka,2019-04-01,649
otorinolaryngologie a chirurgie hlavy a krku,2021-03-01,863
ortodoncie,2021-03-01,416
Dentální hygienistka,2021-03-01,786
Klinický psycholog,2021-03-01,984
endokrinologie a diabetologie,2021-03-01,935
otorinolaryngologie a chirurgie hlavy a krku,2020-02-01,879
ortodoncie,2020-02-01,417
endokrinologie a diabetologie,2020-02-01,943
Klinický psycholog,2020-02-01,903
Dentální hygienistka,2020-02-01,719
otorinolaryngologie a chirurgie hlavy a krku,2020-05-01,879
ortodoncie,2020-05-01,416
Dentální hygienistka,2020-05-01,732
endokrinologie a diabetologie,2020-05-01,946
Klinický psycholog,2020-05-01,913
otorinolaryngologie a chirurgie hlavy a krku,2021-08-01,860
ortodoncie,2021-08-01,424
Klinický psycholog,2021-08-01,1000
endokrinologie a diabetologie,2021-08-01,930
Dentální hygienistka,2021-08-01,811
otorinolaryngologie a chirurgie hlavy a krku,2019-07-01,928
ortodoncie,2019-07-01,427
Dentální hygienistka,2019-07-01,672
endokrinologie a diabetologie,2019-07-01,998
Klinický psycholog,2019-07-01,943
otorinolaryngologie a chirurgie hlavy a krku,2021-09-01,861
ortodoncie,2021-09-01,425
Klinický psycholog,2021-09-01,1006
endokrinologie a diabetologie,2021-09-01,933
Dentální hygienistka,2021-09-01,817
otorinolaryngologie a chirurgie hlavy a krku,2019-03-01,925
ortodoncie,2019-03-01,429
endokrinologie a diabetologie,2019-03-01,996
Klinický psycholog,2019-03-01,928
Dentální hygienistka,2019-03-01,645
otorinolaryngologie a chirurgie hlavy a krku,2020-07-01,877
ortodoncie,2020-07-01,413
Dentální hygienistka,2020-07-01,737
Klinický psycholog,2020-07-01,929
endokrinologie a diabetologie,2020-07-01,941
otorinolaryngologie a chirurgie hlavy a krku,2019-01-01,926
ortodoncie,2019-01-01,428
Klinický psycholog,2019-01-01,923
endokrinologie a diabetologie,2019-01-01,991
Dentální hygienistka,2019-01-01,627
otorinolaryngologie a chirurgie hlavy a krku,2021-11-01,859
ortodoncie,2021-11-01,423
Dentální hygienistka,2021-11-01,836
Klinický psycholog,2021-11-01,1008
endokrinologie a diabetologie,2021-11-01,931
otorinolaryngologie a chirurgie hlavy a krku,2021-01-01,865
ortodoncie,2021-01-01,417
Klinický psycholog,2021-01-01,976
endokrinologie a diabetologie,2021-01-01,944
Dentální hygienistka,2021-01-01,774
otorinolaryngologie a chirurgie hlavy a krku,2019-06-01,926
ortodoncie,2019-06-01,429
Dentální hygienistka,2019-06-01,661
Klinický psycholog,2019-06-01,942
endokrinologie a diabetologie,2019-06-01,998
otorinolaryngologie a chirurgie hlavy a krku,2021-06-01,863
ortodoncie,2021-06-01,424
Klinický psycholog,2021-06-01,994
endokrinologie a diabetologie,2021-06-01,929
Dentální hygienistka,2021-06-01,808
otorinolaryngologie a chirurgie hlavy a krku,2019-09-01,929
ortodoncie,2019-09-01,428
Dentální hygienistka,2019-09-01,694
Klinický psycholog,2019-09-01,951
endokrinologie a diabetologie,2019-09-01,999
otorinolaryngologie a chirurgie hlavy a krku,2021-07-01,860
ortodoncie,2021-07-01,424
Klinický psycholog,2021-07-01,997
endokrinologie a diabetologie,2021-07-01,931
Dentální hygienistka,2021-07-01,812
otorinolaryngologie a chirurgie hlavy a krku,2020-11-01,872
ortodoncie,2020-11-01,417
Dentální hygienistka,2020-11-01,770
endokrinologie a diabetologie,2020-11-01,949
Klinický psycholog,2020-11-01,949
otorinolaryngologie a chirurgie hlavy a krku,2021-10-01,860
ortodoncie,2021-10-01,423
endokrinologie a diabetologie,2021-10-01,931
Klinický psycholog,2021-10-01,1007
Dentální hygienistka,2021-10-01,828
otorinolaryngologie a chirurgie hlavy a krku,2019-12-01,882
ortodoncie,2019-12-01,418
Dentální hygienistka,2019-12-01,705
Klinický psycholog,2019-12-01,901
endokrinologie a diabetologie,2019-12-01,948
otorinolaryngologie a chirurgie hlavy a krku,2020-04-01,877
ortodoncie,2020-04-01,415
Klinický psycholog,2020-04-01,913
endokrinologie a diabetologie,2020-04-01,943
Dentální hygienistka,2020-04-01,731
otorinolaryngologie a chirurgie hlavy a krku,2020-06-01,876
ortodoncie,2020-06-01,412
Dentální hygienistka,2020-06-01,731
Klinický psycholog,2020-06-01,917
endokrinologie a diabetologie,2020-06-01,942
otorinolaryngologie a chirurgie hlavy a krku,2019-10-01,929
ortodoncie,2019-10-01,426
endokrinologie a diabetologie,2019-10-01,1002
Klinický psycholog,2019-10-01,960
Dentální hygienistka,2019-10-01,703
otorinolaryngologie a chirurgie hlavy a krku,2021-05-01,866
ortodoncie,2021-05-01,420
Dentální hygienistka,2021-05-01,798
Klinický psycholog,2021-05-01,990
endokrinologie a diabetologie,2021-05-01,930
otorinolaryngologie a chirurgie hlavy a krku,2021-04-01,866
ortodoncie,2021-04-01,419
Klinický psycholog,2021-04-01,987
endokrinologie a diabetologie,2021-04-01,937
Dentální hygienistka,2021-04-01,791
otorinolaryngologie a chirurgie hlavy a krku,2020-10-01,875
ortodoncie,2020-10-01,419
Klinický psycholog,2020-10-01,943
endokrinologie a diabetologie,2020-10-01,947
Dentální hygienistka,2020-10-01,761
otorinolaryngologie a chirurgie hlavy a krku,2019-11-01,902
ortodoncie,2019-11-01,425
Dentální hygienistka,2019-11-01,707
Klinický psycholog,2019-11-01,932
endokrinologie a diabetologie,2019-11-01,977
otorinolaryngologie a chirurgie hlavy a krku,2019-08-01,929
ortodoncie,2019-08-01,427
Klinický psycholog,2019-08-01,946
endokrinologie a diabetologie,2019-08-01,1000
Dentální hygienistka,2019-08-01,683
otorinolaryngologie a chirurgie hlavy a krku,2019-02-01,926
ortodoncie,2019-02-01,429
Dentální hygienistka,2019-02-01,638
Klinický psycholog,2019-02-01,929
endokrinologie a diabetologie,2019-02-01,994
