currency,max_value,max_value_date,min_value,min_value_date,avg_value
AUD,2.0735,2008-12-18,1.1639,2012-08-09,1.5768107230292143
BGN,1.962,2005-05-24,1.9441,2005-04-04,1.954588846220829
BRL,6.9553,2021-03-09,2.1749,2010-06-22,3.738115406748616
CAD,1.8123,1999-01-13,1.2139,2012-08-16,1.4657819650726378
CHF,1.6803,2007-10-12,0.9437,2022-09-28,1.3352278766117203
CNY,11.1699,2008-03-17,6.5552,2015-04-13,8.465238295052988
CYP,0.5888,2003-04-25,0.57097,2002-11-06,0.5783544314236129
CZK,38.583,1999-03-24,22.968,2008-07-21,28.159743267504478
DKK,7.4732,2020-03-18,7.4234,2003-04-25,7.44806722702791
EEK,15.6466,2010-12-31,15.6466,2010-12-31,15.646600000000033
GBP,0.97855,2008-12-29,0.5711,2000-05-03,0.7749709939611521
HKD,12.4702,2008-07-15,6.4361,2000-10-26,9.28516943039009
HRK,7.7253,2015-02-19,7.1047,2008-09-26,7.45094995583039
HUF,430.65,2022-10-13,228.16,2008-07-18,288.75067080137063
IDR,18239.61,2020-04-01,10867.58,2006-03-23,14304.75670936396
ILS,5.2192,2011-08-29,3.2537,2022-08-26,4.304224533245977
INR,92.065,2013-08-28,56.065,2010-06-08,75.20144387440416
ISK,305.0,2008-11-05,68.07,2000-05-03,106.80855256207097
JPY,169.75,2008-07-23,89.3,2000-10-26,127.56791741472189
KRW,1993.95,2009-03-02,938.67,2000-10-26,1349.6412648930955
LTL,4.7174,1999-01-05,3.3013,2000-10-26,3.52761357090516
LVL,0.7099,2010-10-19,0.5191,2000-10-26,0.6631938323789635
MTL,0.4435,1999-01-13,0.3883,2000-10-25,0.4205288628472256
MXN,27.0896,2020-04-06,14.7939,2008-09-08,19.608883363850357
MYR,5.1857,2008-07-03,3.8193,2012-08-09,4.568447659010588
NOK,12.3165,2020-03-19,7.2225,2003-01-08,8.612270099559304
NZD,2.5535,2009-02-02,1.3884,2015-04-21,1.815015782601608
PHP,72.651,2008-07-15,46.852,2015-03-11,59.24576965547706
PLN,4.9525,2022-03-07,3.2053,2008-07-28,4.164525934388765
ROL,41429.0,2004-01-06,12912.0,1999-01-12,29213.1015625
RON,4.951,2021-11-30,3.113,2007-07-02,4.337223571588624
RUB,117.201,2022-03-01,33.336,2006-03-24,54.9380093930303
SEK,11.7135,2009-03-06,8.055,2000-05-03,9.47555802187043
SGD,2.2323,2004-12-29,1.3838,2022-09-27,1.7447113921984652
SIT,240.03,2004-08-19,187.13,1999-01-15,224.630151293314
SKK,47.484,1999-05-19,30.126,2008-12-31,39.512409765624895
THB,53.536,2008-07-15,33.204,2019-11-29,41.29210490282692
TRL,1912400.0,2004-12-09,370147.0,1999-01-07,1172407.7033181523
TRY,20.0434,2021-12-20,1.555,2006-03-02,4.380617407407416
USD,1.599,2008-07-15,0.8252,2000-10-26,1.1932717480006532
ZAR,20.8452,2020-08-10,6.0785,2000-02-02,11.862413513954627
