         Class:         Count:     Precision:        Recall:            F1:
            all           4274          0.942          0.949          0.945

********************************** Groups *********************************
       alphabet           2418          1.000          1.000          1.000
        numbers            592          0.998          0.987          0.992
   alphanumeric           3010          0.999          0.997          0.998
   special keys            483          0.965          0.910          0.937
  special chars            729          0.684          0.767          0.723

***************************** Individual keys *****************************
              a             51          1.000          1.000          1.000
              b             51          1.000          1.000          1.000
              c             51          1.000          1.000          1.000
              d             51          1.000          1.000          1.000
              e             51          1.000          1.000          1.000
              f             51          1.000          1.000          1.000
              g             51          1.000          1.000          1.000
              h             51          1.000          1.000          1.000
              i             51          1.000          1.000          1.000
              j             51          1.000          1.000          1.000
              k             51          1.000          1.000          1.000
              l             51          1.000          1.000          1.000
              m             51          1.000          1.000          1.000
              n             51          0.980          0.980          0.980
              o             51          1.000          1.000          1.000
              p             51          1.000          1.000          1.000
              q             51          1.000          1.000          1.000
              r             51          1.000          1.000          1.000
              s             51          1.000          1.000          1.000
              t             51          1.000          1.000          1.000
              u             51          1.000          1.000          1.000
              v             51          1.000          1.000          1.000
              w             51          1.000          1.000          1.000
              x             51          1.000          1.000          1.000
              y             51          1.000          1.000          1.000
              z             51          1.000          1.000          1.000
              A             42          1.000          1.000          1.000
              B             42          1.000          1.000          1.000
              C             42          1.000          1.000          1.000
              D             42          1.000          1.000          1.000
              E             42          1.000          1.000          1.000
              F             42          1.000          1.000          1.000
              G             42          1.000          1.000          1.000
              H             42          1.000          1.000          1.000
              I             42          1.000          1.000          1.000
              J             42          1.000          1.000          1.000
              K             42          1.000          1.000          1.000
              L             42          1.000          1.000          1.000
              M             42          1.000          1.000          1.000
              N             42          1.000          1.000          1.000
              O             42          1.000          1.000          1.000
              P             42          1.000          1.000          1.000
              Q             42          1.000          1.000          1.000
              R             42          1.000          1.000          1.000
              S             42          1.000          1.000          1.000
              T             42          1.000          1.000          1.000
              U             42          1.000          1.000          1.000
              V             42          1.000          1.000          1.000
              W             42          1.000          1.000          1.000
              X             42          1.000          1.000          1.000
              Y             42          1.000          1.000          1.000
              Z             42          1.000          1.000          1.000
              0             52          0.981          0.864          0.919
              1             60          1.000          1.000          1.000
              2             60          1.000          1.000          1.000
              3             60          1.000          1.000          1.000
              4             60          1.000          1.000          1.000
              5             60          1.000          1.000          1.000
              6             60          1.000          1.000          1.000
              7             60          1.000          1.000          1.000
              8             60          1.000          1.000          1.000
              9             60          1.000          1.000          1.000
              .             68          0.868          0.663          0.752
              ,             58          0.966          0.778          0.862
              :             17          0.647          0.786          0.710
              ;             23          0.957          0.917          0.936
              '             15          0.933          0.452          0.609
              "             18          0.556          0.833          0.667
              ?             42          0.524          0.957          0.677
              !             24          0.708          0.895          0.791
              @             60          0.367          0.880          0.518
              #             17          0.765          0.867          0.812
              $             13          0.923          0.857          0.889
              £              5          0.800          0.800          0.800
              €              6          0.667          1.000          0.800
              %             13          0.923          0.923          0.923
              ^             11          0.818          0.818          0.818
              &             17          0.824          0.933          0.875
              (             21          0.524          0.917          0.667
              )             34          0.294          0.833          0.435
              {             20          0.400          1.000          0.571
              }             17          0.412          0.875          0.560
              [             28          0.571          0.800          0.667
              ]             25          0.560          0.700          0.622
              <             23          0.435          0.833          0.571
              >             27          0.370          0.909          0.526
              /             24          0.917          0.733          0.815
              \             16          0.938          0.682          0.789
              _             13          0.615          0.571          0.593
              +             18          0.944          0.944          0.944
              -             22          0.864          0.500          0.633
              *             18          0.889          0.800          0.842
              ÷              1          1.000          1.000          1.000
              =             15          0.933          0.737          0.824
          space            100          0.920          0.852          0.885
          enter             70          0.957          0.944          0.950
          shift             91          0.967          0.926          0.946
      backspace            100          0.990          0.925          0.957
           caps             11          1.000          1.000          1.000
            tab             16          0.938          0.938          0.938
           mode             94          0.989          0.903          0.944
           page              1          1.000          1.000          1.000
