         Class:         Count:     Precision:        Recall:            F1:
            all           4145          0.964          0.942          0.953

********************************** Groups *********************************
       alphabet           2417          1.000          1.000          1.000
        numbers            596          1.000          0.993          0.997
   alphanumeric           3013          1.000          0.998          0.999
   special keys            474          0.987          0.914          0.949
  special chars            602          0.762          0.705          0.733

***************************** Individual keys *****************************
              a             50          1.000          0.980          0.990
              b             51          1.000          1.000          1.000
              c             51          1.000          1.000          1.000
              d             51          1.000          1.000          1.000
              e             51          1.000          1.000          1.000
              f             51          1.000          1.000          1.000
              g             51          1.000          1.000          1.000
              h             51          1.000          1.000          1.000
              i             51          1.000          1.000          1.000
              j             51          1.000          1.000          1.000
              k             51          1.000          1.000          1.000
              l             51          1.000          1.000          1.000
              m             51          1.000          1.000          1.000
              n             51          1.000          1.000          1.000
              o             51          1.000          1.000          1.000
              p             51          1.000          1.000          1.000
              q             51          1.000          1.000          1.000
              r             51          1.000          1.000          1.000
              s             51          1.000          1.000          1.000
              t             51          1.000          1.000          1.000
              u             51          1.000          1.000          1.000
              v             51          1.000          1.000          1.000
              w             51          1.000          1.000          1.000
              x             51          1.000          1.000          1.000
              y             51          1.000          1.000          1.000
              z             51          1.000          1.000          1.000
              A             42          1.000          1.000          1.000
              B             42          1.000          1.000          1.000
              C             42          1.000          1.000          1.000
              D             42          1.000          1.000          1.000
              E             42          1.000          1.000          1.000
              F             42          1.000          1.000          1.000
              G             42          1.000          1.000          1.000
              H             42          1.000          1.000          1.000
              I             42          1.000          1.000          1.000
              J             42          1.000          1.000          1.000
              K             42          1.000          1.000          1.000
              L             42          1.000          1.000          1.000
              M             42          1.000          1.000          1.000
              N             42          1.000          1.000          1.000
              O             42          1.000          1.000          1.000
              P             42          1.000          1.000          1.000
              Q             42          1.000          1.000          1.000
              R             42          1.000          1.000          1.000
              S             42          1.000          1.000          1.000
              T             42          1.000          1.000          1.000
              U             42          1.000          1.000          1.000
              V             42          1.000          1.000          1.000
              W             42          1.000          1.000          1.000
              X             42          1.000          1.000          1.000
              Y             42          1.000          1.000          1.000
              Z             42          1.000          1.000          1.000
              0             56          1.000          0.933          0.966
              1             60          1.000          1.000          1.000
              2             60          1.000          1.000          1.000
              3             60          1.000          1.000          1.000
              4             60          1.000          1.000          1.000
              5             60          1.000          1.000          1.000
              6             60          1.000          1.000          1.000
              7             60          1.000          1.000          1.000
              8             60          1.000          1.000          1.000
              9             60          1.000          1.000          1.000
              .             52          0.942          0.551          0.695
              ,             43          0.977          0.583          0.730
              :             15          0.733          0.786          0.759
              ;             22          0.955          0.875          0.913
              '             10          1.000          0.323          0.488
              "             15          0.600          0.750          0.667
              ?             34          0.647          0.957          0.772
              !             20          0.850          0.895          0.872
              @             61          0.410          1.000          0.581
              #             15          0.933          0.933          0.933
              $             16          0.750          0.857          0.800
              £              4          1.000          0.800          0.889
              €              4          1.000          1.000          1.000
              %             15          0.800          0.923          0.857
              ^             10          0.900          0.818          0.857
              &             17          0.824          0.933          0.875
              (             19          0.526          0.833          0.645
              )             20          0.500          0.833          0.625
              {             15          0.467          0.875          0.609
              }             13          0.462          0.750          0.571
              [             17          0.941          0.800          0.865
              ]             17          0.941          0.800          0.865
              <             18          0.556          0.833          0.667
              >             19          0.526          0.909          0.667
              /             19          1.000          0.633          0.776
              \             14          1.000          0.636          0.778
              _             12          0.583          0.500          0.538
              +             15          0.933          0.778          0.848
              -             16          0.812          0.342          0.481
              *             17          0.941          0.800          0.865
              ÷              1          1.000          1.000          1.000
              =             17          0.882          0.789          0.833
          space             98          0.980          0.889          0.932
          enter             68          0.956          0.915          0.935
          shift             88          1.000          0.926          0.962
      backspace            104          0.990          0.963          0.976
           caps              9          1.000          0.818          0.900
            tab             13          1.000          0.812          0.897
           mode             93          1.000          0.903          0.949
           page              1          1.000          1.000          1.000
